date, pm25, pm10, o3, no2, so2
2024/4/2, 43, 12, , , 
2024/4/3, 40, 12, , , 
2024/4/4, 52, 17, , , 
2024/4/5, 59, 18, , , 
2024/4/6, 61, , , , 
2024/4/8, 14, , , , 
2024/4/10, 14, 10, , , 
2024/4/11, 20, 10, , , 
2024/4/12, 26, 11, , , 
2024/4/13, 31, 14, , , 
2024/4/14, 38, , , , 
2024/1/2, 19, 9, , , 
2024/1/3, 16, 8, , , 
2024/1/4, 19, 8, , , 
2024/1/5, 20, 5, , , 
2024/1/6, 13, 6, , , 
2024/1/7, 18, 11, , , 
2024/1/8, 45, 9, , , 
2024/1/9, 32, 10, , , 
2024/1/10, 35, 19, , , 
2024/1/11, 60, 29, , , 
2024/1/12, 82, 20, , , 
2024/1/13, 54, 21, , , 
2024/1/14, 65, 19, , , 
2024/1/15, 63, 11, , , 
2024/1/16, 33, 14, , , 
2024/1/17, 44, 13, , , 
2024/1/18, 50, 21, , , 
2024/1/19, 66, 21, , , 
2024/1/20, 69, 14, , , 
2024/1/21, 52, 9, , , 
2024/1/22, 33, 9, , , 
2024/1/23, 22, 14, , , 
2024/1/24, 28, 16, , , 
2024/1/25, 35, 14, , , 
2024/1/26, 37, 9, , , 
2024/1/27, 23, 14, , , 
2024/1/28, 41, 9, , , 
2024/1/29, 29, 10, , , 
2024/1/30, 36, 9, , , 
2024/1/31, 26, 12, , , 
2024/2/1, 37, 13, , , 
2024/2/2, 30, 14, , , 
2024/2/3, 38, 8, , , 
2024/2/4, 25, 7, , , 
2024/2/5, 20, 21, , , 
2024/2/6, 43, 12, , , 
2024/2/7, 30, 7, , , 
2024/2/8, 23, 12, , , 
2024/2/9, 43, 10, , , 
2024/2/10, 30, 8, , , 
2024/2/11, 27, 8, , , 
2024/2/12, 27, 11, , , 
2024/2/13, 33, 9, , , 
2024/2/14, 25, 8, , , 
2024/2/15, 29, 9, , , 
2024/2/16, 25, 11, , , 
2024/2/17, 39, 11, , , 
2024/2/18, 29, 9, , , 
2024/2/19, 26, 12, , , 
2024/2/20, 39, 15, , , 
2024/2/21, 46, 11, , , 
2024/2/22, 30, 8, , , 
2024/2/23, 24, 6, , , 
2024/2/24, 19, 6, , , 
2024/2/25, 20, 7, , , 
2024/2/26, 22, 7, , , 
2024/2/27, 27, 12, , , 
2024/2/28, 44, 14, , , 
2024/2/29, 46, 9, , , 
2024/3/1, 36, 7, , , 
2024/3/2, 23, 6, , , 
2024/3/3, 20, 12, , , 
2024/3/4, 42, 15, , , 
2024/3/5, 44, 11, , , 
2024/3/6, 38, 11, , , 
2024/3/7, 38, 24, , , 
2024/3/8, 71, 18, , , 
2024/3/9, 58, 11, , , 
2024/3/10, 42, 16, , , 
2024/3/11, 53, 19, , , 
2024/3/12, 63, 22, , , 
2024/3/13, 65, 11, , , 
2024/3/14, 42, 11, , , 
2024/3/15, 40, 12, , , 
2024/3/16, 42, 12, , , 
2024/3/17, 43, 11, , , 
2024/3/18, 46, 15, , , 
2024/3/19, 54, 16, , , 
2024/3/20, 52, 20, , , 
2024/3/21, 60, 23, , , 
2024/3/22, 68, 21, , , 
2024/3/23, 64, 12, , , 
2024/3/24, 40, 10, , , 
2024/3/25, 34, 12, , , 
2024/3/26, 42, 12, , , 
2024/3/27, 39, 9, , , 
2024/3/28, 33, 7, , , 
2024/3/29, 23, 9, , , 
2024/3/30, 33, 11, , , 
2024/3/31, 44, 14, , , 
2024/4/1, 49, 10, , , 
2023/10/2, 30, 18, , , 
2023/10/3, 53, 16, , , 
2023/10/4, 44, 11, , , 
2023/10/5, 19, 10, , , 
2023/10/6, 20, 12, , , 
2023/10/7, 25, 10, , , 
2023/10/8, 24, 12, , , 
2023/10/9, 32, 19, , , 
2023/10/10, 49, 15, , , 
2023/10/11, 36, 19, , , 
2023/10/12, 42, 15, , , 
2023/10/13, 41, 18, , , 
2023/10/14, 41, 11, , , 
2023/10/15, 22, 7, , , 
2023/10/16, 22, 9, , , 
2023/10/17, 25, 8, , , 
2023/10/18, 23, 8, , , 
2023/10/19, 22, 6, , , 
2023/10/20, 13, 6, , , 
2023/10/21, 15, 8, , , 
2023/10/22, 17, 6, , , 
2023/10/23, 16, 8, , , 
2023/10/24, 18, 5, , , 
2023/10/25, 15, 6, , , 
2023/10/26, 15, 9, , , 
2023/10/27, 26, 8, , , 
2023/10/28, 18, 5, , , 
2023/10/29, 11, 7, , , 
2023/10/30, 15, 6, , , 
2023/10/31, 13, 8, , , 
2023/11/1, 21, 6, , , 
2023/11/2, 12, 10, , , 
2023/11/3, 14, 6, , , 
2023/11/4, 11, 5, , , 
2023/11/5, 12, 6, , , 
2023/11/6, 18, 8, , , 
2023/11/7, 19, 7, , , 
2023/11/8, 19, 7, , , 
2023/11/9, 18, 7, , , 
2023/11/10, 16, 5, , , 
2023/11/11, 13, 9, , , 
2023/11/12, 28, 9, , , 
2023/11/13, 32, 9, , , 
2023/11/14, 21, 11, , , 
2023/11/15, 23, 10, , , 
2023/11/16, 21, 12, , , 
2023/11/17, 33, 15, , , 
2023/11/18, 49, 9, , , 
2023/11/19, 27, 10, , , 
2023/11/20, 24, 6, , , 
2023/11/21, 18, 13, , , 
2023/11/22, 45, 14, , , 
2023/11/23, 47, 12, , , 
2023/11/24, 33, 8, , , 
2023/11/25, 16, 6, , , 
2023/11/26, 15, 11, , , 
2023/11/27, 37, 7, , , 
2023/11/28, 26, 8, , , 
2023/11/29, 27, 13, , , 
2023/11/30, 42, 15, , , 
2023/12/1, 56, 19, , , 
2023/12/2, 65, 20, , , 
2023/12/3, 67, 15, , , 
2023/12/4, 54, 7, , , 
2023/12/5, 25, 10, , , 
2023/12/6, 36, 13, , , 
2023/12/7, 47, 10, , , 
2023/12/8, 34, 12, , , 
2023/12/9, 36, 11, , , 
2023/12/10, 25, 13, , , 
2023/12/11, 26, 11, , , 
2023/12/12, 22, 10, , , 
2023/12/13, 21, 9, , , 
2023/12/14, 26, 12, , , 
2023/12/15, 38, 16, , , 
2023/12/16, 45, 12, , , 
2023/12/17, 30, 10, , , 
2023/12/18, 32, 14, , , 
2023/12/19, 49, 11, , , 
2023/12/20, 42, 8, , , 
2023/12/21, 17, 7, , , 
2023/12/22, 14, 7, , , 
2023/12/23, 16, 6, , , 
2023/12/24, 14, 6, , , 
2023/12/25, 12, 5, , , 
2023/12/26, 7, 11, , , 
2023/12/27, 25, 9, , , 
2023/12/28, 26, 8, , , 
2023/12/29, 14, 6, , , 
2023/12/30, 13, 8, , , 
2023/12/31, 16, 6, , , 
2024/1/1, 12, 8, , , 
2023/7/2, 18, 22, 34, 2, 1
2023/7/3, 54, 16, 30, 1, 
2023/7/4, 29, 16, 26, 2, 
2023/7/5, 33, 10, 25, 1, 
2023/7/6, 26, 10, 31, 2, 
2023/7/7, 27, 11, 39, 2, 
2023/7/8, 32, 14, 48, 2, 
2023/7/9, 45, 19, 38, 4, 1
2023/7/10, 55, 12, 35, 3, 
2023/7/11, 37, 14, 36, 2, 
2023/7/12, 35, 10, 28, 1, 
2023/7/13, 24, 10, 29, 1, 
2023/7/14, 20, 9, 32, 2, 
2023/7/15, 17, 10, 27, 1, 
2023/7/16, 18, 10, 21, 1, 
2023/7/17, 22, 9, 27, 1, 
2023/7/18, 21, 7, 34, 2, 1
2023/7/19, 14, 10, 27, 3, 
2023/7/20, 21, 10, 29, 3, 1
2023/7/21, 27, 10, 31, 2, 
2023/7/22, 32, 11, 27, 2, 1
2023/7/23, 25, 7, 22, 1, 
2023/7/24, 15, 5, 24, 1, 
2023/7/25, 14, 7, 29, 2, 1
2023/7/26, 13, 9, 30, 3, 1
2023/7/27, 21, 4, 14, 2, 
2023/7/28, 12, 6, 20, 2, 
2023/7/29, 15, 5, 24, 2, 
2023/7/30, 12, 10, 25, 1, 
2023/7/31, 20, 6, 18, 1, 
2023/8/1, 14, 8, 25, 1, 
2023/8/2, 17, 7, 24, 1, 
2023/8/3, 16, 8, 26, 1, 
2023/8/4, 17, 8, 29, 2, 
2023/8/5, 19, 7, 21, 2, 1
2023/8/6, 20, 6, 27, 1, 
2023/8/7, 13, 7, 28, 1, 1
2023/8/8, 14, 8, 25, 3, 1
2023/8/9, 16, 8, 31, 2, 1
2023/8/10, 20, 10, 35, 2, 1
2023/8/11, 28, 14, 37, 2, 1
2023/8/12, 32, 8, 28, 1, 
2023/8/13, 20, 9, 26, 2, 
2023/8/14, 20, 9, 31, 1, 1
2023/8/15, 22, 10, 29, 2, 1
2023/8/16, 24, 11, 36, 4, 1
2023/8/17, 27, 14, 23, 3, 1
2023/8/18, 40, 25, 41, 3, 
2023/8/19, 71, 13, 26, 2, 
2023/8/20, 37, 11, 35, 3, 1
2023/8/21, 27, 11, 32, 4, 1
2023/8/22, 21, 15, 28, 4, 1
2023/8/23, 40, 12, 35, 4, 1
2023/8/24, 28, 13, 23, 4, 
2023/8/25, 36, 15, 24, 4, 
2023/8/26, 42, 8, 24, 2, 1
2023/8/27, 20, 6, 27, 2, 1
2023/8/28, 13, 8, 28, 3, 1
2023/8/29, 22, 11, 26, 4, 1
2023/8/30, 31, 8, 25, 3, 1
2023/8/31, 21, 8, 24, 2, 1
2023/9/1, 19, 6, 18, 2, 1
2023/9/2, 16, 10, 24, 2, 1
2023/9/3, 28, 17, 30, 2, 1
2023/9/4, 56, 11, 41, 3, 
2023/9/5, 35, 11, 36, 4, 1
2023/9/6, 29, 10, 42, 4, 1
2023/9/7, 27, 14, 48, 4, 1
2023/9/8, 39, 21, 53, 4, 1
2023/9/9, 48, 28, 51, 4, 1
2023/9/10, 66, 20, 45, 3, 
2023/9/11, 49, 20, 40, 4, 1
2023/9/12, 49, 19, 28, 4, 1
2023/9/13, 53, 11, 28, 4, 1
2023/9/14, 29, 6, , , 
2023/9/15, 16, 8, , , 
2023/9/16, 23, 10, , , 
2023/9/17, 29, 9, , , 
2023/9/18, 29, 9, , , 
2023/9/19, 24, 9, , , 
2023/9/20, 14, 8, , , 
2023/9/21, 17, 7, , , 
2023/9/22, 19, 6, , , 
2023/9/23, 15, 7, , , 
2023/9/24, 18, 8, , , 
2023/9/25, 24, 6, , , 
2023/9/26, 16, 10, , , 
2023/9/27, 29, 12, , , 
2023/9/28, 34, 13, , , 
2023/9/29, 28, 10, , , 
2023/9/30, 27, 12, , , 
2023/10/1, 33, 9, , , 
2023/4/2, 14, 9, 25, 4, 
2023/4/3, 31, 9, 32, 6, 
2023/4/4, 32, 9, 35, 6, 
2023/4/5, 30, 17, 35, 15, 1
2023/4/6, 62, 15, 27, 7, 
2023/4/7, 50, 8, 32, 6, 
2023/4/8, 31, 12, 30, 6, 
2023/4/9, 48, 18, 36, 5, 
2023/4/10, 61, 9, 32, 2, 
2023/4/11, 34, 7, 35, 4, 
2023/4/12, 27, 5, 36, 2, 
2023/4/13, 17, 5, 37, 3, 
2023/4/14, 19, 6, 33, 4, 
2023/4/15, 29, 8, 39, 7, 1
2023/4/16, 33, 6, 28, 5, 
2023/4/17, 26, 10, 32, 5, 
2023/4/18, 47, 14, 29, 6, 
2023/4/19, 53, 9, 42, 4, 1
2023/4/20, 46, 6, 35, 5, 
2023/4/21, 21, 10, 37, 4, 
2023/4/22, 32, 16, 21, 7, 
2023/4/23, 58, 10, 32, 2, 
2023/4/24, 32, 9, 37, 3, 
2023/4/25, 27, 11, 37, 4, 
2023/4/26, 23, 11, 39, 7, 1
2023/4/27, 27, 17, 40, 6, 
2023/4/28, 51, 13, 23, 4, 
2023/4/29, 37, 17, 33, 6, 
2023/4/30, 56, 13, 39, 5, 
2023/5/1, 42, 17, 36, 5, 1
2023/5/2, 52, 20, 36, 6, 1
2023/5/3, 54, 15, 39, 5, 
2023/5/4, 37, 16, 44, 5, 1
2023/5/5, 45, 13, 31, 5, 
2023/5/6, 38, 11, 31, 3, 
2023/5/7, 30, 10, 21, 4, 
2023/5/8, 32, 21, 22, 5, 
2023/5/9, 60, 8, 19, 4, 
2023/5/10, 25, 8, 24, 5, 
2023/5/11, 22, 12, 27, 6, 
2023/5/12, 38, 11, 24, 6, 
2023/5/13, 34, 21, 44, 6, 
2023/5/14, 56, 31, 39, 5, 
2023/5/15, 75, 23, 32, 5, 
2023/5/16, 62, 9, 32, 3, 
2023/5/17, 16, 12, 36, 6, 
2023/5/18, 27, 14, 39, 4, 1
2023/5/19, 34, 14, 42, 4, 1
2023/5/20, 33, 15, 39, 3, 1
2023/5/21, 39, 17, 37, 4, 
2023/5/22, 47, 32, 30, 6, 
2023/5/23, 72, 21, 33, 4, 
2023/5/24, 46, 16, 33, 7, 1
2023/5/25, 33, 15, 37, 4, 
2023/5/26, 38, 19, 41, 3, 
2023/5/27, 37, 17, 50, 2, 1
2023/5/28, 39, 18, 49, 4, 1
2023/5/29, 45, 13, 38, 1, 
2023/5/30, 28, 16, 41, 2, 
2023/5/31, 29, 13, 46, 4, 1
2023/6/1, 31, 18, 40, 4, 
2023/6/2, 39, 15, 39, 1, 
2023/6/3, 27, 15, 43, 3, 1
2023/6/4, 31, 11, 45, 2, 1
2023/6/5, 24, 14, 45, 3, 1
2023/6/6, 30, 15, 50, 3, 1
2023/6/7, 34, 19, 44, 4, 1
2023/6/8, 43, 22, 55, 4, 1
2023/6/9, 51, 19, 56, 3, 1
2023/6/10, 50, 20, 62, 2, 1
2023/6/11, 55, 16, 47, 2, 
2023/6/12, 50, 15, 65, 3, 
2023/6/13, 43, 17, 68, 3, 1
2023/6/14, 45, 19, 59, 4, 1
2023/6/15, 46, 17, 53, 3, 1
2023/6/16, 43, 20, 73, 6, 1
2023/6/17, 45, 19, 59, 4, 1
2023/6/18, 49, 16, 41, 3, 
2023/6/19, 51, 12, 35, 1, 
2023/6/20, 32, 12, 37, 2, 1
2023/6/21, 33, 11, 41, 2, 
2023/6/22, 31, 16, 29, 7, 
2023/6/23, 49, 21, 41, 4, 
2023/6/24, 53, 10, 37, 3, 
2023/6/25, 28, 14, 50, 4, 
2023/6/26, 43, 11, 35, 2, 
2023/6/27, 24, 13, 34, 3, 1
2023/6/28, 20, 14, 27, 3, 1
2023/6/29, 30, 21, 26, 4, 
2023/6/30, 57, 11, 33, 3, 
2023/7/1, 24, 8, 25, 1, 
2023/2/27, 17, 8, 27, 7, 1
2023/2/28, 25, 13, 27, 10, 1
2023/3/1, 44, 17, 27, 12, 2
2023/3/2, 57, 20, 20, 12, 2
2023/3/3, 61, 18, 21, 9, 1
2023/3/4, 59, 12, 28, 6, 1
2023/3/5, 31, 9, 27, 7, 1
2023/3/6, 32, 21, 24, 7, 1
2023/3/7, 65, 9, 24, 5, 1
2023/3/8, 33, 8, 23, 9, 
2023/3/9, 33, 11, 29, 12, 
2023/3/10, 39, 6, 30, 3, 
2023/3/11, 18, 12, 30, 9, 
2023/3/12, 30, 14, 31, 3, 
2023/3/13, 35, 8, 24, 1, 
2023/3/14, 21, 6, , 5, 
2023/3/15, 15, 8, , 7, 
2023/3/16, 25, 7, , 3, 
2023/3/17, 18, 12, 29, 5, 
2023/3/18, 31, 10, 31, 3, 
2023/3/19, 33, 9, 25, 4, 
2023/3/20, 28, 14, 28, 6, 
2023/3/21, 38, 11, 27, 5, 
2023/3/22, 29, 8, 28, 2, 
2023/3/23, 21, 7, 31, 2, 
2023/3/24, 19, 6, 31, 3, 
2023/3/25, 14, 9, 34, 2, 
2023/3/26, 21, 9, 30, 4, 
2023/3/27, 23, 8, 34, 6, 
2023/3/28, 18, 10, 34, 9, 
2023/3/29, 26, 10, 28, 4, 
2023/3/30, 26, 8, 31, 3, 
2023/3/31, 18, 6, 31, 2, 
2023/4/1, 15, 4, 29, 3, 
2022/10/2, 23, 9, , , 
2022/10/3, 22, 12, , , 
2022/10/4, 35, 13, , , 
2022/10/5, 36, 10, , , 
2022/10/6, 22, 13, , , 
2022/10/7, 23, 14, , , 
2022/10/8, 27, 11, , , 
2022/10/9, 25, 10, , , 
2022/10/10, 27, 14, , , 
2022/10/11, 32, 15, , , 
2022/10/12, 37, 15, , , 
2022/10/13, 38, 15, , , 
2022/10/14, 41, 9, , , 
2022/10/15, 28, 9, , , 
2022/10/16, 27, 8, , , 
2022/10/17, 18, 12, , , 
2022/10/18, 29, 15, , , 
2022/10/19, 32, 17, , , 
2022/10/20, 40, 14, , , 
2022/10/21, 33, 9, , , 
2022/10/22, 17, 12, , , 
2022/10/23, 23, 11, , , 
2022/10/24, 23, 11, , , 
2022/10/25, 22, 9, , , 
2022/10/26, 17, 10, , , 
2022/10/27, 21, 13, , , 
2022/10/28, 26, 22, , , 
2022/10/29, 45, 21, , , 
2022/10/30, 47, 21, , , 
2022/10/31, 50, 15, , , 
2022/11/1, 41, 10, , , 
2022/11/2, 22, 11, , , 
2022/11/3, 19, 9, , , 
2022/11/4, 22, 7, , , 
2022/11/5, 16, , , , 
2022/7/2, 17, 7, , , 
2022/7/3, 21, 7, , , 
2022/7/4, 22, 9, , , 
2022/7/5, 24, 11, , , 
2022/7/6, 31, 10, , , 
2022/7/7, 29, 8, , , 
2022/7/8, 20, 10, , , 
2022/7/9, 24, 10, , , 
2022/7/10, 30, 8, , , 
2022/7/11, 22, 10, , , 
2022/7/12, 31, 9, , , 
2022/7/13, 27, 12, , , 
2022/7/14, 30, 14, , , 
2022/7/15, 35, 11, , , 
2022/7/16, 28, 11, , , 
2022/7/17, 34, 8, , , 
2022/7/18, 20, 12, , , 
2022/7/19, 29, 14, , , 
2022/7/20, 35, 23, , , 
2022/7/21, 63, 13, , , 
2022/7/22, 36, 12, , , 
2022/7/23, 31, 14, , , 
2022/7/24, 44, 17, , , 
2022/7/25, 45, 13, , , 
2022/7/26, 26, 11, , , 
2022/7/27, 22, 8, , , 
2022/7/28, 18, 11, , , 
2022/7/29, 22, 15, , , 
2022/7/30, 36, 15, , , 
2022/7/31, 35, 8, , , 
2022/8/1, 19, 8, , , 
2022/8/2, 19, 12, , , 
2022/8/3, 28, 12, , , 
2022/8/4, 23, 18, , , 
2022/8/5, 44, 12, , , 
2022/8/6, 32, 8, , , 
2022/8/7, 19, 9, , , 
2022/8/8, 26, 13, , , 
2022/8/9, 33, 11, , , 
2022/8/10, 26, 15, , , 
2022/8/11, 33, 18, , , 
2022/8/12, 43, 21, , , 
2022/8/13, 49, 14, , , 
2022/8/14, 37, 13, , , 
2022/8/15, 34, 12, , , 
2022/8/16, 33, 20, , , 
2022/8/17, 48, 19, , , 
2022/8/18, 54, 27, , , 
2022/8/19, 72, 13, , , 
2022/8/20, 34, 13, , , 
2022/8/21, 28, 12, , , 
2022/8/22, 25, 13, , , 
2022/8/23, 31, 16, , , 
2022/8/24, 34, 14, , , 
2022/8/25, 32, 22, , , 
2022/8/26, 51, 9, , , 
2022/8/27, 16, 10, , , 
2022/8/28, 22, 10, , , 
2022/8/29, 17, 10, , , 
2022/8/30, 17, 16, , , 
2022/8/31, 32, 15, , , 
2022/9/1, 35, 16, , , 
2022/9/2, 37, 14, , , 
2022/9/3, 35, 11, , , 
2022/9/4, 34, 10, , , 
2022/9/5, 25, 11, , , 
2022/9/6, 24, 10, , , 
2022/9/7, 26, 12, , , 
2022/9/8, 31, 8, , , 
2022/9/9, 19, 7, , , 
2022/9/10, 15, 11, , , 
2022/9/11, 28, 10, , , 
2022/9/12, 33, 10, , , 
2022/9/13, 27, 13, , , 
2022/9/14, 32, 11, , , 
2022/9/15, 33, 13, , , 
2022/9/16, 34, 8, , , 
2022/9/17, 16, 5, , , 
2022/9/18, 12, 7, , , 
2022/9/19, 14, 9, , , 
2022/9/20, 15, 9, , , 
2022/9/21, 22, 12, , , 
2022/9/22, 33, 11, , , 
2022/9/23, 29, 17, , , 
2022/9/24, 43, 13, , , 
2022/9/25, 45, 10, , , 
2022/9/26, 24, 7, , , 
2022/9/27, 18, 5, , , 
2022/9/28, 13, 9, , , 
2022/9/29, 21, 12, , , 
2022/9/30, 38, 13, , , 
2022/10/1, 41, 9, , , 
2022/4/2, 31, 8, , , 
2022/4/3, 20, 8, , , 
2022/4/4, 24, 11, , , 
2022/4/5, 36, 8, , , 
2022/4/6, 25, 8, , , 
2022/4/7, 16, 7, , , 
2022/4/8, 17, 9, , , 
2022/4/9, 21, 9, , , 
2022/4/10, 21, 11, , , 
2022/4/11, 36, 9, , , 
2022/4/12, 28, 10, , , 
2022/4/13, 24, 17, , , 
2022/4/14, 46, 15, , , 
2022/4/15, 49, 16, , , 
2022/4/16, 50, 12, , , 
2022/4/17, 42, 7, , , 
2022/4/18, 21, 6, , , 
2022/4/19, 19, 26, , , 
2022/4/20, 63, 14, , , 
2022/4/21, 33, 15, , , 
2022/4/22, 35, 16, , , 
2022/4/23, 45, 19, , , 
2022/4/24, 54, 15, , , 
2022/4/25, 43, 14, , , 
2022/4/26, 41, 15, , , 
2022/4/27, 39, 14, , , 
2022/4/28, 36, 18, , , 
2022/4/29, 44, 26, , , 
2022/4/30, 59, 11, , , 
2022/5/1, 31, 13, , , 
2022/5/2, 43, 18, , , 
2022/5/3, 49, 14, , , 
2022/5/4, 36, 18, , , 
2022/5/5, 43, 18, , , 
2022/5/6, 52, 17, , , 
2022/5/7, 47, 18, , , 
2022/5/8, 49, 14, , , 
2022/5/9, 33, 19, , , 
2022/5/10, 34, 22, , , 
2022/5/11, 43, 13, , , 
2022/5/12, 18, 16, , , 
2022/5/13, 28, 12, , , 
2022/5/14, 18, 15, , , 
2022/5/15, 28, 19, , , 
2022/5/16, 41, 16, , , 
2022/5/17, 39, 11, , , 
2022/5/18, 24, 13, , , 
2022/5/19, 33, 18, , , 
2022/5/20, 44, 16, , , 
2022/5/21, 47, 9, , , 
2022/5/22, 18, 11, , , 
2022/5/23, 28, 14, , , 
2022/5/24, 40, 7, , , 
2022/5/25, 15, 9, , , 
2022/5/26, 18, 9, , , 
2022/5/27, 22, 9, , , 
2022/5/28, 21, 13, , , 
2022/5/29, 24, 5, , , 
2022/5/30, 9, 9, , , 
2022/5/31, 19, 12, , , 
2022/6/1, 27, 10, , , 
2022/6/2, 27, 9, , , 
2022/6/3, 26, 12, , , 
2022/6/4, 36, 14, , , 
2022/6/5, 39, 19, , , 
2022/6/6, 59, 10, , , 
2022/6/7, 29, 7, , , 
2022/6/8, 15, 7, , , 
2022/6/9, 14, 13, , , 
2022/6/10, 31, 12, , , 
2022/6/11, 24, 10, , , 
2022/6/12, 26, 10, , , 
2022/6/13, 23, 11, , , 
2022/6/14, 25, 8, , , 
2022/6/15, 19, 16, , , 
2022/6/16, 39, 15, , , 
2022/6/17, 39, 13, , , 
2022/6/18, 32, 20, , , 
2022/6/19, 47, 14, , , 
2022/6/20, 34, 13, , , 
2022/6/21, 32, 14, , , 
2022/6/22, 32, 17, , , 
2022/6/23, 39, 12, , , 
2022/6/24, 30, 7, , , 
2022/6/25, 19, 8, , , 
2022/6/26, 21, 9, , , 
2022/6/27, 21, 9, , , 
2022/6/28, 24, 9, , , 
2022/6/29, 19, 13, , , 
2022/6/30, 30, 10, , , 
2022/7/1, 24, 7, , , 
2022/1/4, 12, 5, , , 
2022/1/5, 16, 9, , , 
2022/1/6, 23, 11, , , 
2022/1/7, 26, 7, , , 
2022/1/8, 22, 7, , , 
2022/1/9, 27, 13, , , 
2022/1/10, 34, 13, , , 
2022/1/11, 46, 13, , , 
2022/1/12, 45, 21, , , 
2022/1/13, 67, 18, , , 
2022/1/14, 59, 27, , , 
2022/1/15, 76, 24, , , 
2022/1/16, 75, 24, , , 
2022/1/17, 77, 20, , , 
